LScanVer, 2101
Time, 10:24
ImageRes, 1024x800
FieldSize (um), 1525.000x1210.000
Elements, 4
Points, 1445
HV, 20
Mag, 200
Dwell, 0.1
Detector, EDS1
DetectorType, ApolloXPSDD
Data Type, ZafAt
Amp Time, 0.8
NumOfFrames, 1
Rebuild Line Parent, Bereich 1/Linienprofil 1
Point, Distance (um), Mg K, Al K, Si K, Fe K, Image, Frame
73, 72.0, 1.263, 97.589, 1.148, 0.000, 0, 21, , 
74, 73.0, 1.562, 96.129, 2.309, 0.000, 0, 21, , 
75, 74.0, 1.415, 97.065, 1.520, 0.000, 0, 21, , 
76, 75.0, 1.397, 97.512, 1.090, 0.000, 0, 21, , 
77, 76.0, 1.501, 97.193, 1.306, 0.000, 0, 21, , 
78, 77.0, 1.921, 97.379, 0.700, 0.000, 0, 21, , 
79, 78.0, 1.344, 97.409, 1.247, 0.000, 0, 21, , 
80, 79.0, 2.062, 97.063, 0.875, 0.000, 0, 21, , 
81, 80.0, 1.733, 96.932, 1.336, 0.000, 0, 21, , 
82, 81.0, 1.516, 96.938, 1.546, 0.000, 0, 21, , 
83, 82.0, 1.446, 97.022, 1.533, 0.000, 0, 21, , 
84, 83.0, 1.873, 96.488, 1.639, 0.000, 0, 21, , 
85, 84.0, 1.359, 97.566, 1.075, 0.000, 0, 21, , 
86, 85.0, 1.725, 96.602, 1.673, 0.000, 0, 21, , 
87, 86.0, 1.701, 97.891, 0.408, 0.000, 0, 21, , 
88, 87.0, 1.136, 97.482, 1.382, 0.000, 0, 21, , 
89, 88.0, 1.432, 96.994, 1.574, 0.000, 0, 21, , 
90, 89.0, 1.613, 97.042, 1.345, 0.000, 0, 21, , 
91, 90.0, 1.684, 97.271, 1.044, 0.000, 0, 21, , 
92, 91.0, 1.511, 97.214, 1.275, 0.000, 0, 21, , 
93, 92.0, 1.631, 96.882, 1.488, 0.000, 0, 21, , 
94, 93.0, 1.788, 97.639, 0.573, 0.000, 0, 21, , 
95, 94.0, 1.265, 97.399, 1.336, 0.000, 0, 21, , 
96, 95.0, 1.474, 97.152, 1.373, 0.000, 0, 21, , 
97, 96.0, 1.464, 96.670, 1.866, 0.000, 0, 21, , 
98, 97.0, 1.713, 96.422, 1.865, 0.000, 0, 21, , 
99, 98.0, 2.140, 96.727, 1.133, 0.000, 0, 21, , 
100, 99.0, 1.930, 96.483, 1.587, 0.000, 0, 21, , 
101, 100.0, 1.618, 97.256, 1.127, 0.000, 0, 21, , 
102, 101.0, 1.466, 97.168, 1.366, 0.000, 0, 21, , 
103, 102.0, 1.738, 96.687, 1.576, 0.000, 0, 21, , 
104, 103.0, 1.563, 96.755, 1.682, 0.000, 0, 21, , 
105, 104.0, 1.656, 97.161, 1.183, 0.000, 0, 21, , 
106, 105.0, 1.863, 97.299, 0.839, 0.000, 0, 21, , 
107, 106.0, 1.847, 96.706, 1.447, 0.000, 0, 21, , 
108, 107.0, 1.896, 96.745, 1.358, 0.000, 0, 21, , 
109, 108.0, 1.800, 97.058, 1.142, 0.000, 0, 21, , 
110, 109.0, 1.968, 96.592, 1.439, 0.000, 0, 21, , 
111, 110.0, 1.460, 98.540, 0.000, 0.000, 0, 21, , 
112, 111.0, 2.178, 96.653, 1.168, 0.000, 0, 21, , 
113, 112.0, 1.847, 97.487, 0.666, 0.000, 0, 21, , 
114, 113.0, 1.761, 97.619, 0.620, 0.000, 0, 21, , 
115, 114.0, 1.705, 97.546, 0.749, 0.000, 0, 21, , 
116, 115.0, 1.303, 98.005, 0.692, 0.000, 0, 21, , 
117, 116.0, 1.647, 96.223, 2.131, 0.000, 0, 21, , 
118, 117.0, 1.990, 91.819, 6.191, 0.000, 0, 21, , 
119, 118.0, 1.484, 80.815, 17.701, 0.000, 0, 21, , 
120, 119.0, 1.692, 87.804, 10.504, 0.000, 0, 21, , 
121, 120.0, 2.023, 94.011, 3.967, 0.000, 0, 21, , 
122, 121.0, 1.847, 92.769, 5.384, 0.000, 0, 21, , 
123, 122.0, 1.331, 79.565, 19.104, 0.000, 0, 21, , 
124, 123.0, 1.018, 53.547, 45.435, 0.000, 0, 21, , 
125, 124.0, 0.837, 32.753, 66.410, 0.000, 0, 21, , 
126, 125.0, 1.238, 25.657, 73.105, 0.000, 0, 21, , 
127, 126.0, 0.981, 35.783, 63.236, 0.000, 0, 21, , 
128, 127.0, 1.000, 59.428, 39.572, 0.000, 0, 21, , 
129, 128.0, 1.506, 76.244, 22.249, 0.000, 0, 21, , 
130, 129.0, 1.479, 87.944, 10.577, 0.000, 0, 21, , 
131, 130.0, 1.109, 89.835, 9.056, 0.000, 0, 21, , 
132, 131.0, 1.869, 94.449, 3.682, 0.000, 0, 21, , 
133, 132.0, 1.621, 96.950, 1.429, 0.000, 0, 21, , 
134, 133.0, 1.738, 97.209, 1.053, 0.000, 0, 21, , 
135, 134.0, 1.799, 96.693, 1.508, 0.000, 0, 21, , 
136, 135.0, 1.834, 97.221, 0.944, 0.000, 0, 21, , 
137, 136.0, 1.525, 97.571, 0.904, 0.000, 0, 21, , 
138, 137.0, 1.878, 97.031, 1.091, 0.000, 0, 21, , 
139, 138.0, 1.970, 97.360, 0.670, 0.000, 0, 21, , 
140, 139.0, 1.882, 96.674, 1.445, 0.000, 0, 21, , 
141, 140.0, 0.982, 98.553, 0.465, 0.000, 0, 21, , 
142, 141.0, 1.580, 97.583, 0.837, 0.000, 0, 21, , 
143, 142.0, 1.744, 97.290, 0.966, 0.000, 0, 21, , 
144, 143.0, 1.567, 97.751, 0.682, 0.000, 0, 21, , 
145, 144.0, 1.806, 96.927, 1.267, 0.000, 0, 21, , 
146, 145.0, 1.875, 96.451, 1.674, 0.000, 0, 21, , 
147, 146.0, 1.694, 97.802, 0.505, 0.000, 0, 21, , 
148, 147.0, 1.669, 96.877, 1.454, 0.000, 0, 21, , 
149, 148.0, 1.225, 98.313, 0.462, 0.000, 0, 21, , 
150, 149.0, 2.093, 97.080, 0.826, 0.000, 0, 21, , 
151, 150.0, 1.568, 97.038, 1.394, 0.000, 0, 21, , 
152, 151.0, 1.797, 96.582, 1.621, 0.000, 0, 21, , 
153, 152.0, 1.848, 97.541, 0.612, 0.000, 0, 21, , 
154, 153.0, 2.034, 97.127, 0.839, 0.000, 0, 21, , 
155, 154.0, 1.630, 96.512, 1.858, 0.000, 0, 21, , 
156, 155.0, 1.236, 97.144, 1.620, 0.000, 0, 21, , 
157, 156.0, 1.846, 96.271, 1.882, 0.000, 0, 21, , 
158, 157.0, 1.261, 98.278, 0.461, 0.000, 0, 21, , 
159, 158.0, 1.610, 97.602, 0.788, 0.000, 0, 21, , 
160, 159.0, 1.475, 97.503, 1.021, 0.000, 0, 21, , 
161, 160.0, 1.890, 96.257, 1.853, 0.000, 0, 21, , 
162, 161.0, 1.366, 97.126, 1.508, 0.000, 0, 21, , 
163, 162.0, 1.608, 97.133, 1.259, 0.000, 0, 21, , 
164, 163.0, 1.469, 97.444, 1.087, 0.000, 0, 21, , 
165, 164.0, 1.672, 97.713, 0.615, 0.000, 0, 21, , 
166, 165.0, 1.921, 96.828, 1.250, 0.000, 0, 21, , 
167, 166.0, 1.845, 96.764, 1.391, 0.000, 0, 21, , 
168, 167.0, 1.463, 97.900, 0.638, 0.000, 0, 21, , 
169, 168.0, 1.979, 97.244, 0.777, 0.000, 0, 21, , 
170, 169.0, 1.416, 96.952, 1.632, 0.000, 0, 21, , 
171, 170.0, 1.690, 97.210, 1.100, 0.000, 0, 21, , 
172, 171.0, 1.617, 97.924, 0.459, 0.000, 0, 21, , 
173, 172.0, 1.983, 96.076, 1.942, 0.000, 0, 21, , 
174, 173.0, 1.676, 96.463, 1.860, 0.000, 0, 21, , 
175, 174.0, 1.907, 96.779, 1.314, 0.000, 0, 21, , 
176, 175.0, 1.850, 96.836, 1.313, 0.000, 0, 21, , 
177, 176.0, 1.729, 96.359, 1.912, 0.000, 0, 21, , 
178, 177.0, 1.521, 96.930, 1.549, 0.000, 0, 21, , 
179, 178.0, 2.179, 96.012, 1.809, 0.000, 0, 21, , 
180, 179.0, 1.820, 97.001, 1.179, 0.000, 0, 21, , 
181, 180.0, 1.054, 97.818, 1.129, 0.000, 0, 21, , 
182, 181.0, 1.108, 98.141, 0.570, 0.181, 0, 21, , 
183, 182.0, 1.376, 97.606, 1.018, 0.000, 0, 21, , 
184, 183.0, 1.873, 98.127, 0.000, 0.000, 0, 21, , 
185, 184.0, 1.686, 98.314, 0.000, 0.000, 0, 21, , 
186, 185.0, 1.967, 96.622, 1.410, 0.000, 0, 21, , 
187, 186.0, 1.586, 97.732, 0.682, 0.000, 0, 21, , 
188, 187.0, 1.626, 96.964, 1.411, 0.000, 0, 21, , 
189, 188.0, 1.631, 96.805, 1.564, 0.000, 0, 21, , 
190, 189.0, 1.844, 96.864, 1.293, 0.000, 0, 21, , 
191, 190.0, 2.113, 96.788, 1.099, 0.000, 0, 21, , 
192, 191.0, 1.623, 96.802, 1.575, 0.000, 0, 21, , 
193, 192.0, 1.731, 96.826, 1.443, 0.000, 0, 21, , 
194, 193.0, 1.811, 97.072, 1.117, 0.000, 0, 21, , 
195, 194.0, 1.366, 97.497, 1.137, 0.000, 0, 21, , 
196, 195.0, 1.780, 96.891, 1.329, 0.000, 0, 21, , 
197, 196.0, 1.863, 96.788, 1.348, 0.000, 0, 21, , 
198, 197.0, 1.970, 97.226, 0.804, 0.000, 0, 21, , 
199, 198.0, 1.753, 97.286, 0.961, 0.000, 0, 21, , 
200, 199.0, 1.868, 96.807, 1.325, 0.000, 0, 21, , 
201, 200.0, 1.838, 97.357, 0.805, 0.000, 0, 21, , 
202, 201.0, 1.887, 97.488, 0.625, 0.000, 0, 21, , 
203, 202.0, 1.394, 97.462, 1.144, 0.000, 0, 21, , 
